Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.234710978236579,-0.171239724128542,0.116224161893916,0,0,0,6.31580497595873,0.0229487473589501,-2.4413576966852E-06,-5.34812780582184E-06,0.0359517333717167,-0.00070039094668895,0.0541508205788101,0,0,0,0,0,0,package://engineer/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://engineer/meshes/base_link.STL,,.车架V2.0-v2.8.-1/.井字车架-横铝方b.2.2-v2.8-1;.车架V2.0-v2.8.-1/.车架-尾部加强铝方-v2.8-1;后装甲板铝方-v2.8.-2;车架-后洞洞板a-v2.8.-1;车架-后洞洞板-电管a.2.2.-1;上台阶双臂-A主控碰撞体积-v2.8.-1;车架-后洞洞板-电管a-v2.8.-1;.车架V2.0-v2.8.-1/.车架-后腿铝方-v2.8-1;.车架V2.0-v2.8.-1/.车架-后铝方-v2.8-2;.车架V2.0-v2.8.-1/.车架-后腿铝方-v2.8-2;铝方垫块4.-1;电机输出前垫板a.-1;.车架V2.0-v2.8.-1/后腿垫方-1;电机屁股后垫板a.-1;.车架V2.0-v2.8.-1/.井字车架-横铝方a.2.2-v2.8-1;.车架V2.0-v2.8.-1/.车架-履带、装甲板铝方-v2.8-1;.车架V2.0-v2.8.-1/.车架-履带、装甲板铝方-v2.8-2;.车架V2.0-v2.8.-1/.车架-最前固定板-v2.8-4;.车架V2.0-v2.8.-1/.车架-装甲板支架铝方-v2.8-1;.车架V2.0-v2.8.-1/臂前支撑铝方-v2.8-1;.车架V2.0-v2.8.-1/.车架-机械臂前铝方-v2.8-2;10-10-25M4转接件-v2.8.-60;10-10-25M4转接件-v2.8.-61;.车架V2.0-v2.8.-1/.车架-固定片2-v2.8-2;.上台阶双臂-小装甲板支撑架A型-v2.8.-7;.上台阶双臂-小装甲板11-v2.8.-2/.上台阶双臂-小装甲板b-v2.8-1;.车架V2.0-v2.8.-1/nm-v2.8-1;.车架V2.0-v2.8.-1/.车架-悬挂铝方-v2.8-2;.车架V2.0-v2.8.-1/.车架-侧板固定.2.2-v2.8-4;.车架V2.0-v2.8.-1/钢方-v2.8-4;电池架固定铝方-v2.8.-3;.车架V2.0-v2.8.-1/.车架-悬挂竖铝方-v2.8-2;.车架V2.0-v2.8.-1/.车架-侧边固定板-v2.8-4;车架-前洞洞板a-v2.8.-1;.车架V2.0-v2.8.-1/.车架-侧边固定板-v2.8-3;.车架V2.0-v2.8.-1/钢方-v2.8-1;.车架V2.0-v2.8.-1/.车架-侧板固定.2.2-v2.8-3;前臂固定肋板-v2.8.-1;前臂固定肋板-v2.8.-2;.车架V2.0-v2.8.-1/.车架-最前固定板-v2.8-1;.车架V2.0-v2.8.-1/.车架-固定片2-v2.8-1;.车架V2.0-v2.8.-1/.车架-悬挂铝方-v2.8-1;.车架V2.0-v2.8.-1/.车架-侧板固定.2.2-v2.8-1;铝方垫块3.-1;.车架V2.0-v2.8.-1/.车架-侧板固定.2.2-v2.8-2;垫块.-1;.车架V2.0-v2.8.-1/.车架-悬挂竖铝方-v2.8-1;.车架V2.0-v2.8.-1/nm-v2.8-2;七轴主车-v2.0-v2.8.-1/Sev-J1-RA8008内圈-v2.8.-1;七轴主车-v2.0-v2.8.-1/Sev-主车J1板-v2.8.-1;.车架V2.0-v2.8.-1/.车架-侧边固定板-v2.8-2;.车架V2.0-v2.8.-1/.车架-侧边固定板-v2.8-1;铝方垫块11.-1;铝方垫块1.-1;导轮板.-1;洞洞板边防进弹-v2.8.-1;电池铝方固定板-v2.8.-3;新电池保护1.2-v2.8.-1/电池架固定板(1).2.21.2-v2.8-1;.车架V2.0-v2.8.-1/.车架-前固定板-v2.8-2;.车架V2.0-v2.8.-1/.车架-机械臂后铝方-v2.8-1;新电池保护1.2-v2.8.-1/battery_asm.2.21.2-v2.8-1/battery_asm.stp-1/BATTERY_ASM_1.stp-1/00_EA230_DRONE_BATTERY_ASM_1_ASM.stp-1/02_EA230_BATT_345CELL-V02_ASM_1_ASM.stp-1/03_EA230_BATTERY_SHELL-V02_ASM__ASM.stp-1/04_EA230_BATT_PC_TOP_1.stp-1;装甲板固定肋板-v2.8.-6;电池架固定铝方-v2.8.-2;.车架-固定片2-v2.8.-1;.上台阶双臂-小装甲板支撑架A型-v2.8.-8;.车架V2.0-v2.8.-1/.车架-机械臂前铝方-v2.8-1;车架-中洞洞板a-v2.6.-1;.车架V2.0-v2.8.-1/.车架-洞洞板固定板（前）-v2.8-1;洞洞板边防进弹-v2.8.-2;前臂固定板-v2.8.-1;臂前立柱-v2.8.-4;臂前立柱-v2.8.-3;新电池保护1.2-v2.8.-1/电池架固定板2(1).2.21.2-v2.8-1;.车架V2.0-v2.8.-1/.车架-洞洞板固定板-v2.8-2;.车架V2.0-v2.8.-1/.车架-机械臂后铝方-v2.8-2;七轴主车-v2.0-v2.8.-1/Sev-J1-电机固定板-v2.8.-1;七轴主车-v2.0-v2.8.-1/Sev-J1-交叉滚子RA8008-v2.8.-1;.车架V2.0-v2.8.-1/.车架-最前固定板-v2.8-3;.车架V2.0-v2.8.-1/.车架-最前固定板-v2.8-2;小花1.-1;10-10-25M4转接件-v2.8.-77;铝方垫块10.-1;.车架V2.0-v2.8.-1/铝方垫块7-1;新电池保护1.2-v2.8.-1/电池盖1.2-v2.8-1;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/.上台阶双臂-麦轮-板材-履带主体板(外侧）V2.0（左前）-v2.8-5;.上台阶双臂-右前麦轮履带V2.3（右前）-v2.8.-1/.上台阶双臂-麦轮-板材-履带主体板(外侧）V2.0（右前）-v2.8-4;.上台阶双臂-右前麦轮履带V2.3（右前）-v2.8.-1/.pom垫块3b（右前）-v2.8-1;.上台阶双臂-右前麦轮履带V2.3（右前）-v2.8.-1/.pom垫块2b（右前）-v2.8-1;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/.pom垫块V2.0（左前）-v2.8-1;.上台阶双臂-右前麦轮履带V2.3（右前）-v2.8.-1/.上台阶双臂-左前麦轮-前小带轮-8m 8间距16齿V2.0（右前）-v2.8-2;.上台阶双臂-右前麦轮履带V2.3（右前）-v2.8.-1/.上台阶双臂-左前麦轮-前小带轮-8m 8间距16齿V2.0（右前）-v2.8-1;.上台阶双臂-右前麦轮履带V2.3（右前）-v2.8.-1/.上台阶双臂-电机3508V2.0（右前）-v2.8-5;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/.上台阶双臂-电机3508V2.0（左前）-v2.8-6;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/.上台阶双臂-左前麦轮-前小带轮外板V2.0（左前）-v2.8-2;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/.pom垫块2b（左前）-v2.8-1;小带轮.-1;.上台阶双臂-左前麦轮-小带轮外板V2.0（左前）.2.2.-2;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/a上台阶双臂-麦轮-板材-履带主体板(外侧）V2.0（左前）-v2.8-3;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/.上台阶双臂-左前麦轮-小带轮-8m 8间距16齿V2.0（左前）-v2.8-2;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/.上台阶双臂-左前麦轮-前小带轮外板V2.0（左前）-v2.8-1;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/.上台阶双臂-左前麦轮-前小带轮-8m 8间距16齿V2.0（左前）-v2.8-1;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/.pom垫块3b（左前）-v2.8-1;.上台阶双臂-右前麦轮履带V2.3（右前）-v2.8.-1/.上台阶双臂-左前麦轮-小带轮-8m 8间距16齿V2.0（右前）-v2.8-2;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/.上台阶双臂-挡边法兰轴承F626zzV2.0（左前）-v2.8-5;履带垫块.-1;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/.上台阶双臂-挡边法兰轴承F626zzV2.0（左前）-v2.8-11;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/法兰外圈小垫（左前）-v2.8-2;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/.上台阶双臂-挡边法兰轴承F626zzV2.0（左前）-v2.8-7;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/.上台阶双臂-左前麦轮-前小带轮两侧打印件V2.0（左前）-v2.8-4;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/.上台阶双臂-推力球轴承6-14-5V2.0（左前）-v2.8-5;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/.上台阶双臂-推力球轴承6-14-5V2.0（左前）-v2.8-8;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/法兰外圈小垫（左前）-v2.8-1;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/.上台阶双臂-挡边法兰轴承F626zzV2.0（左前）-v2.8-10;.上台阶双臂-左前麦轮履带V2.4（左前）-v2.8.-1/.上台阶双臂-推力球轴承6-14-5V2.0（左前）-v2.8-7,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,5.68171413528606E-08,1.25219814938599E-06,0.0201045349315822,0,0,0,0.388221025887492,0.000729838074672889,-8.28505424435677E-10,7.57997442302712E-09,0.000729844759579318,3.01122130522218E-10,0.00135019113386282,0,0,0,0,0,0,package://engineer/meshes/link1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://engineer/meshes/link1.STL,,.110-麦轮轮组B-v2.8.-1/.110-内嵌麦轮2-v2.8-1,坐标系6,基准轴9,joint1,continuous,-0.028073,-0.048012,0.024886,1.5708,0,1.5708,base_link,0,0,-1,,,,,,,,,,,,
link2,1.20015969966997E-06,-3.52048079910183E-07,-0.0190233424563439,0,0,0,0.388217210164063,0.000729842021492152,-8.10933957210516E-10,6.65728945677958E-09,0.00072983536964258,-5.30282066744672E-09,0.0013501875233046,0,0,0,0,0,0,package://engineer/meshes/link2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://engineer/meshes/link2.STL,,.110-麦轮轮组1-v2.8.-1/.110-内嵌麦轮-v2.8-1,坐标系7,基准轴10,joint2,continuous,0.52673,-0.047911,0.024874,1.5708,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
link3,1.47954383689086E-07,1.06847528345833E-06,-0.0294251113825765,0,0,0,0.384208721014785,0.000729505883301047,3.78820992664609E-09,6.26146757147414E-09,0.000729501536827234,-4.28012316565514E-09,0.00134981754504203,0,0,0,0,0,0,package://engineer/meshes/link3.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://engineer/meshes/link3.STL,,.新后腿总装-v2.8.-3/.新110-麦轮轮组B-v2.8.-1/.新110-内嵌麦轮2-v2.8-1,坐标系8,基准轴11,joint3,continuous,-0.036723,-0.43743,0.026008,-1.5708,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
link4,-4.54392188431463E-07,9.78281912832057E-07,-0.0294251113815071,0,0,0,0.384208721258754,0.000729501158654186,3.54440095180781E-09,7.58173337795083E-09,0.000729506262014361,-2.06205752043551E-10,0.00134981754552728,0,0,0,0,0,0,package://engineer/meshes/link4.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://engineer/meshes/link4.STL,,右后腿-v2.8.-1/a新110-麦轮轮组B-v2.8-1/a新110-内嵌麦轮2-v2.8-1,坐标系9,基准轴12,joint4,continuous,0.53538,-0.4375,0.028073,1.5708,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
link5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://engineer/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://engineer/meshes/link5.STL,,七轴主车-v2.0-v2.8.-1/Sev-J1-47齿从动轮-v2.8.-1,坐标系10,基准轴2,joint5,continuous,0.24933,-0.15,0.19895,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
link6,0.167753906217194,0.0159552309334949,0.0495925104228964,0,0,0,0.525310717288306,0.000371627985127472,-0.000521642743277703,-2.21236045209412E-07,0.00364909075697093,-3.75524804406657E-07,0.00385184265629974,0,0,0,0,0,0,package://engineer/meshes/link6.STL,0.847058823529412,0.847058823529412,0.847058823529412,1,0,0,0,0,0,0,package://engineer/meshes/link6.STL,,七轴主车-v2.0-v2.8.-1/七轴-L1-v2.8.-2;七轴主车-v2.0-v2.8.-1/Sev-L1-上板-v2.8.-2;七轴主车-v2.0-v2.8.-1/Sev-L1-斜下板-1-v2.8.-2;七轴主车-v2.0-v2.8.-1/Sev-L1-斜下板-2-v2.8.-2;七轴主车-v2.0-v2.8.-1/七轴-L1-R-v2.8.-2;七轴主车-v2.0-v2.8.-1/Sev-L1-底板-v2.8.-5;七轴主车-v2.0-v2.8.-1/Sev-L1-上板-2-v2.8.-1,坐标系11,基准轴3,joint6,continuous,0.04475,0.00011722,0.083117,1.5708,0,-1.5708,link5,0,0,-1,,,,,,,,,,,,
link7,0.0778209776759845,0.00690288593523403,-0.0494610147582692,0,0,0,0.30096018429323,0.000126082946107919,-4.67419628849896E-05,6.33998362350913E-07,0.000826742903139903,5.38371896997607E-08,0.000929127598004201,0,0,0,0,0,0,package://engineer/meshes/link7.STL,0.847058823529412,0.847058823529412,0.847058823529412,1,0,0,0,0,0,0,package://engineer/meshes/link7.STL,,七轴主车-v2.0-v2.8.-1/七轴-L2-L-v2.8.-4;七轴主车-v2.0-v2.8.-1/七轴-L2-R-v1.2-v2.8.-1;七轴主车-v2.0-v2.8.-1/Sev-L2-上板-v2.8.-1;七轴主车-v2.0-v2.8.-1/Sev-L2-底板-v2.8.-1,坐标系12,基准轴4,joint7,continuous,0.29299,0.064883,-0.006,-3.1416,0,3.1416,link6,0,0,-1,,,,,,,,,,,,
link8,0.0561061966268404,-0.0122957084500727,-0.057297386910134,0,0,0,0.192796139676654,9.42494368542429E-05,-3.99719030450481E-06,-4.25185966442785E-07,0.000251955902325382,2.73181608095733E-08,0.000259125663147528,0,0,0,0,0,0,package://engineer/meshes/link8.STL,0.847058823529412,0.847058823529412,0.847058823529412,1,0,0,0,0,0,0,package://engineer/meshes/link8.STL,,七轴主车-v2.0-v2.8.-1/七轴-L3-v2.8.-5;七轴主车-v2.0-v2.8.-1/Sev-末端roll轴4310固定板-v2.8.-1;七轴主车-v2.0-v2.8.-1/J5-末端走线打印件-改-v2.8.-1;七轴主车-v2.0-v2.8.-1/Sev-L3-上板-v2.8.-1;七轴主车-v2.0-v2.8.-1/七轴-L3-R-v2.8.-4;七轴主车-v2.0-v2.8.-1/Sev-走线保护件-v2.8.-1;七轴主车-v2.0-v2.8.-1/Sev-L3-底板-v2.8.-4,坐标系13,基准轴5,joint8,continuous,0.15943,0.013538,-0.109,-3.1416,0,0,link7,0,0,-1,,,,,,,,,,,,
link9,-0.00056140122757331,0.00025776249721482,-0.0327772838467792,0,0,0,0.130833847334764,3.56298600545339E-05,8.5225387213713E-08,1.1424300082287E-08,3.60143399694012E-05,-9.16853074132645E-13,4.663715290081E-05,0,0,0,0,0,0,package://engineer/meshes/link9.STL,1,1,1,1,0,0,0,0,0,0,package://engineer/meshes/link9.STL,,七轴主车-v2.0-v2.8.-1/DM-J4310 V1.1减速电机 STEP3D20230904.STEP-v2.8.-1;七轴主车-v2.0-v2.8.-1/Sev-J5-4310输出轴垫板-v2.8.-2,坐标系14,基准轴6,joint9,continuous,0.11955,-0.01043,-0.058849,0.084714,1.5708,0,link8,0,0,-1,,,,,,,,,,,,
